Nome,Gênero,CPF,Valor Doação,Data Doação
Sra. Catarina Lopes,Masculino,1234,479.11,2024-08-31
Bárbara Silva,Masculino,1234,939.55,2024-06-02
Arthur da Costa,Feminino,1234,731.36,2024-10-05
Sabrina Silva,Não-binário,1234,492.88,2024-06-17
Leandro Farias,Feminino,1234,281.77,2024-01-04
Sra. Brenda Fernandes,Feminino,1234,624.5,2024-03-27
Sr. Davi Luiz da Mota,Não-binário,1234,644.84,2024-08-20
Levi Viana,Masculino,1234,917.78,2024-08-23
Sra. Bárbara Moraes,Masculino,1234,143.86,2024-11-17
Pietro da Mota,Não-binário,1234,879.78,2024-01-25
Francisco da Mota,Masculino,1234,684.87,2024-08-14
Lorenzo Ferreira,Não-binário,1234,27.15,2024-02-17
João Vitor Sales,Não-binário,1234,862.73,2024-05-10
Kamilly Pinto,Não-binário,1234,823.47,2024-10-03
Brenda da Rosa,Feminino,1234,698.88,2024-11-11
Enrico Carvalho,Não-binário,1234,720.28,2024-07-14
Ana Julia Lopes,Feminino,1234,14.22,2024-11-13
Ana Vitória Pereira,Não-binário,1234,933.04,2024-10-18
Amanda Lima,Feminino,1234,68.77,2024-05-05
Kaique Monteiro,Feminino,1234,363.89,2024-08-30
Olivia Fernandes,Masculino,1234,337.58,2024-03-11
Sophia Barros,Não-binário,1234,748.93,2024-10-24
Sr. Vicente Araújo,Não-binário,1234,344.43,2024-04-18
Sofia Alves,Não-binário,1234,454.25,2024-05-02
Pedro da Cunha,Feminino,1234,441.8,2024-10-04
Eduarda Lopes,Feminino,1234,530.51,2024-01-30
Breno Alves,Não-binário,1234,431.05,2024-04-10
Enzo Gabriel Dias,Masculino,1234,771.34,2024-07-22
Renan Lima,Masculino,1234,908.16,2024-02-12
Dr. Breno Sales,Masculino,1234,25.9,2024-01-08
Yuri Novaes,Feminino,1234,694.45,2024-05-06
Eduarda Mendes,Não-binário,1234,481.96,2024-09-04
Catarina Santos,Masculino,1234,787.22,2024-05-03
Joaquim da Conceição,Não-binário,1234,427.7,2024-01-25
Davi Lucca Aragão,Não-binário,1234,162.77,2024-02-19
Luna Cavalcanti,Não-binário,1234,376.57,2024-07-03
Dr. Francisco Silveira,Masculino,1234,146.36,2024-07-16
Luana Correia,Não-binário,1234,527.03,2024-09-25
Pedro Duarte,Não-binário,1234,444.4,2024-06-21
Marcela Vieira,Feminino,1234,749.06,2024-08-24
Srta. Letícia Duarte,Masculino,1234,617.28,2024-06-28
Yasmin Ramos,Não-binário,1234,47.98,2024-02-18
Helena Mendes,Masculino,1234,428.98,2024-02-22
Danilo Cardoso,Masculino,1234,229.41,2024-07-11
Agatha Carvalho,Masculino,1234,48.52,2024-01-22
Helena Almeida,Masculino,1234,226.31,2024-03-28
Dr. Vitor Hugo Nascimento,Não-binário,1234,347.63,2024-05-06
Kaique Barros,Feminino,1234,28.66,2024-02-20
Letícia Ramos,Feminino,1234,258.54,2024-09-29
Isabella Almeida,Masculino,1234,335.5,2024-10-31
Pedro Lucas Farias,Não-binário,1234,157.93,2024-07-30
Rodrigo Caldeira,Masculino,1234,661.49,2024-01-27
Rodrigo Rezende,Não-binário,1234,146.35,2024-08-28
Diego Carvalho,Não-binário,1234,52.69,2024-03-14
Maria Vitória Oliveira,Masculino,1234,929.28,2024-07-29
Pedro Henrique Barbosa,Masculino,1234,471.78,2024-07-03
Ana Lívia Ribeiro,Masculino,1234,653.52,2024-07-30
Valentina Ferreira,Feminino,1234,573.13,2024-03-24
Stella Cardoso,Masculino,1234,181.8,2024-10-23
Dr. João Miguel Carvalho,Não-binário,1234,500.82,2024-01-22
Amanda Gonçalves,Não-binário,1234,59.99,2024-05-29
Sr. Antônio Pinto,Masculino,1234,930.52,2024-04-11
Maria Vitória Ramos,Masculino,1234,804.23,2024-06-28
Noah da Rosa,Feminino,1234,490.61,2024-08-17
Isadora Ramos,Feminino,1234,183.77,2024-03-09
Pedro Miguel Vieira,Feminino,1234,731.91,2024-08-30
Thomas Oliveira,Feminino,1234,892.05,2024-06-21
Helena Carvalho,Feminino,1234,322.06,2024-06-20
João Miguel Gonçalves,Não-binário,1234,685.88,2024-02-10
Murilo Silva,Não-binário,1234,469.6,2024-01-03
Stephany Cardoso,Masculino,1234,474.55,2024-10-30
Luiz Gustavo Nogueira,Masculino,1234,540.02,2024-04-18
Pedro Lucas Alves,Feminino,1234,382.39,2024-10-07
Joana Barbosa,Feminino,1234,495.88,2024-10-06
Davi Lucas Ferreira,Masculino,1234,131.15,2024-01-17
Olivia Dias,Não-binário,1234,837.97,2024-04-27
Davi Lucca Santos,Não-binário,1234,251.11,2024-01-20
Maria Alves,Masculino,1234,897.64,2024-05-21
Davi Lucas Fogaça,Não-binário,1234,538.81,2024-10-09
Cecília Ferreira,Não-binário,1234,770.82,2024-07-06
Yasmin Jesus,Feminino,1234,767.32,2024-02-22
Davi Luiz Rezende,Feminino,1234,590.31,2024-05-05
Augusto da Rosa,Feminino,1234,210.86,2024-06-03
Sra. Mariane Rezende,Feminino,1234,672.43,2024-03-01
Cecília Peixoto,Masculino,1234,382.77,2024-03-12
Levi Lima,Masculino,1234,237.42,2024-06-01
João Miguel Porto,Não-binário,1234,286.08,2024-02-28
Eloah Pinto,Masculino,1234,541.17,2024-01-15
Sra. Alana Gomes,Não-binário,1234,227.31,2024-07-12
Amanda da Rocha,Masculino,1234,948.02,2024-06-16
Stella Porto,Não-binário,1234,127.14,2024-04-13
Gabrielly Gomes,Não-binário,1234,123.56,2024-01-10
Sr. João Gabriel Costa,Masculino,1234,750.99,2024-07-20
Sr. Yago Dias,Feminino,1234,677.92,2024-03-21
Fernando Pereira,Masculino,1234,950.29,2024-07-17
Sr. João Teixeira,Não-binário,1234,252.82,2024-08-26
Dr. André Silva,Feminino,1234,836.57,2024-07-29
Davi Oliveira,Masculino,1234,582.13,2024-03-14
Luna Moraes,Masculino,1234,382.26,2024-02-13
João Guilherme Silva,Feminino,1234,100.66,2024-07-27
